Name,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Aliana,13.0,10.0,14.0,23.0,18.0,22.0,24.0,32.0,32.0,22.0,30.0
Alianna,10.0,7.0,6.0,15.0,6.0,14.0,11.0,15.0,15.0,20.0,17.0
Aliannah,,,,,,,,,5.0,6.0,
Alianny,,,,,,,,,5.0,5.0,5.0
Alice,81.0,60.0,77.0,86.0,97.0,97.0,138.0,162.0,164.0,189.0,171.0
Alicea,,,,,5.0,,,6.0,,,
Alicia,169.0,129.0,131.0,93.0,113.0,86.0,95.0,88.0,72.0,60.0,69.0
Alicja,,,,,8.0,,7.0,8.0,,6.0,
Alida,,,,,,,,,,8.0,
Alin,,,6.0,,,,,,,,
Alina,65.0,47.0,68.0,99.0,106.0,98.0,94.0,88.0,94.0,96.0,145.0
Aline,5.0,,,6.0,,,,6.0,,,5.0
Alisa,27.0,26.0,16.0,24.0,32.0,32.0,28.0,31.0,28.0,25.0,28.0
Alise,,,,,,,,,,,7.0
Alisha,68.0,52.0,43.0,43.0,46.0,34.0,45.0,35.0,39.0,32.0,42.0
Alishba,7.0,5.0,6.0,5.0,7.0,6.0,11.0,7.0,5.0,9.0,
Alisia,,6.0,,,,,,,,,
Alison,89.0,72.0,82.0,91.0,90.0,116.0,90.0,88.0,90.0,72.0,77.0
Alissa,58.0,47.0,40.0,42.0,40.0,32.0,34.0,23.0,29.0,22.0,23.0
Alisson,7.0,,5.0,11.0,20.0,24.0,41.0,21.0,20.0,17.0,16.0
Alivia,56.0,48.0,64.0,86.0,80.0,107.0,97.0,77.0,94.0,86.0,75.0
Aliya,23.0,28.0,19.0,17.0,19.0,28.0,28.0,29.0,41.0,26.0,19.0
Aliyah,75.0,76.0,62.0,87.0,90.0,89.0,124.0,134.0,91.0,97.0,109.0
Aliyana,,,,,,8.0,5.0,6.0,11.0,10.0,10.0
Aliyanna,,,,,,,,,5.0,,
Aliza,43.0,45.0,56.0,51.0,42.0,29.0,53.0,40.0,55.0,47.0,44.0
Alizah,,,,,5.0,,,,,,
Alize,5.0,9.0,9.0,,6.0,8.0,,,5.0,,
Allana,,,6.0,6.0,5.0,5.0,7.0,6.0,,,
Allanah,,6.0,,,6.0,,,,,,
Allegra,5.0,9.0,9.0,12.0,10.0,15.0,17.0,12.0,,5.0,12.0
Alli,,,,,,6.0,,,,,
