Name,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Akasha,,7.0,8.0,10.0,7.0,6.0,,,,,
Akayla,6.0,14.0,12.0,10.0,8.0,6.0,6.0,6.0,5.0,,
Akaylah,,5.0,,,,,,,,,
Akeelah,,,9.0,14.0,7.0,,,,,,
Akela,,,5.0,,,,,,,,
Akemi,5.0,5.0,9.0,7.0,9.0,,5.0,17.0,13.0,14.0,10.0
Akilah,,,8.0,5.0,,,,,,7.0,
Akina,,,,5.0,,,,,,,
Akira,16.0,12.0,15.0,20.0,31.0,30.0,28.0,22.0,33.0,24.0,18.0
Akirah,,,5.0,,,,,,,,
Akshara,,5.0,5.0,6.0,8.0,11.0,25.0,14.0,12.0,16.0,22.0
Akshaya,,,5.0,5.0,5.0,,,,8.0,,6.0
Akshita,,,,5.0,8.0,,7.0,6.0,,,
Akyra,,,5.0,,,,,,,,
Alaa,5.0,,,,6.0,,,,,,
Alabama,,,,,,5.0,,,,6.0,
Alahna,,,6.0,5.0,5.0,,7.0,5.0,7.0,,
Alahni,,,,,,,,,,5.0,6.0
Alaia,,5.0,,7.0,,8.0,6.0,7.0,13.0,9.0,8.0
Alaina,77.0,55.0,70.0,72.0,73.0,69.0,70.0,94.0,108.0,90.0,113.0
Alaiyah,,,,,5.0,,,,8.0,,
Alajah,,,,6.0,,,,,,,
Alana,237.0,261.0,276.0,304.0,221.0,218.0,208.0,200.0,208.0,199.0,205.0
Alanah,17.0,21.0,15.0,28.0,29.0,28.0,15.0,29.0,32.0,24.0,14.0
Alani,52.0,57.0,53.0,64.0,54.0,74.0,80.0,81.0,85.0,98.0,102.0
Alania,,,,,,,,,6.0,,
Alanie,,,6.0,13.0,10.0,12.0,8.0,10.0,7.0,5.0,6.0
Alanis,20.0,20.0,23.0,11.0,6.0,11.0,15.0,8.0,13.0,38.0,27.0
Alanna,58.0,63.0,63.0,81.0,69.0,64.0,67.0,61.0,59.0,70.0,56.0
Alannah,20.0,23.0,25.0,32.0,37.0,28.0,27.0,41.0,41.0,28.0,33.0
Alanni,,,,,,,8.0,,,,
Alany,,7.0,,8.0,9.0,7.0,,8.0,5.0,,9.0
Alara,,7.0,,,,6.0,,,6.0,,
Alasia,,,7.0,,,,8.0,8.0,,,
Alaska,,,,,,,,,,5.0,7.0
Alaura,7.0,7.0,7.0,6.0,5.0,,,,5.0,,
Alaya,11.0,15.0,12.0,19.0,26.0,25.0,17.0,24.0,25.0,23.0,25.0
Alayah,14.0,15.0,12.0,17.0,25.0,20.0,35.0,39.0,39.0,40.0,46.0
Alayjah,,,,5.0,,,5.0,,,,
Alayla,,,,,,5.0,13.0,,7.0,9.0,9.0
Alayna,66.0,42.0,53.0,62.0,58.0,49.0,68.0,72.0,78.0,91.0,98.0
Alaynna,,,,,,,5.0,,,,
Alaysha,,6.0,,,5.0,,5.0,,,5.0,
Alaysia,13.0,17.0,12.0,13.0,15.0,10.0,14.0,20.0,22.0,16.0,10.0
Alba,11.0,14.0,20.0,16.0,11.0,11.0,22.0,15.0,18.0,22.0,28.0
Albina,,,5.0,,,,,,,,
Alea,9.0,12.0,10.0,12.0,9.0,15.0,14.0,6.0,6.0,9.0,10.0
Aleah,32.0,30.0,28.0,34.0,42.0,67.0,87.0,90.0,84.0,95.0,76.0
Aleana,6.0,,,5.0,,,,5.0,7.0,,7.0
Alecia,,,,5.0,,,,5.0,5.0,,
Aleeah,,,,,,,11.0,24.0,21.0,21.0,22.0
Aleen,,7.0,6.0,7.0,10.0,5.0,,,10.0,7.0,9.0
Aleena,59.0,78.0,64.0,139.0,120.0,99.0,114.0,135.0,131.0,99.0,141.0
Aleenah,,,,7.0,8.0,9.0,10.0,5.0,14.0,14.0,7.0
Aleesa,,,7.0,,,,7.0,,,,
Aleesha,,,11.0,,,6.0,,,,,
Aleeya,,5.0,7.0,,,7.0,7.0,8.0,10.0,10.0,8.0
Aleeyah,,5.0,,7.0,,5.0,8.0,16.0,8.0,17.0,9.0
