Name,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Aran,,,,,5.0,,,,,,
Arav,,,8.0,,10.0,10.0,,5.0,,11.0,
Arber,5.0,,6.0,,,,6.0,9.0,6.0,,
Arbi,,,5.0,,,,,,,,
Arcangel,,,,,,,,,6.0,,
Archer,,6.0,,,5.0,19.0,15.0,23.0,21.0,35.0,31.0
Archie,,,5.0,,7.0,,7.0,6.0,,5.0,7.0
Arda,,,8.0,5.0,9.0,9.0,7.0,5.0,,,
Arden,,,,8.0,,5.0,,,,,9.0
Ardian,,,,,,5.0,,,,,
Ardit,,8.0,,,,,,,,,
Areeb,,,,,6.0,,,,,,
Aren,,6.0,,,6.0,,7.0,5.0,,5.0,
Ares,,,,,6.0,13.0,7.0,7.0,12.0,12.0,17.0
Argenis,,,,,6.0,6.0,,5.0,,,
Arhaan,,,,,,,,,,5.0,
Arham,5.0,5.0,,5.0,8.0,6.0,12.0,6.0,10.0,11.0,14.0
Arhan,,,,,,,,,,5.0,
Ari,35.0,32.0,55.0,66.0,61.0,74.0,66.0,63.0,76.0,64.0,77.0
Arian,11.0,5.0,9.0,12.0,14.0,10.0,12.0,20.0,15.0,25.0,21.0
Aric,,,,,,5.0,,,,,
Arie,,,,,,,,,7.0,8.0,
Ariel,84.0,97.0,84.0,82.0,91.0,97.0,81.0,79.0,68.0,60.0,63.0
Aries,6.0,10.0,,,5.0,7.0,7.0,6.0,5.0,7.0,6.0
Arif,7.0,,,8.0,,,,6.0,5.0,,
Arin,5.0,,,,,,5.0,6.0,,,5.0
Arion,5.0,,6.0,11.0,6.0,9.0,6.0,5.0,6.0,6.0,9.0
Aris,,5.0,,,6.0,8.0,7.0,7.0,7.0,5.0,
Ariyan,,,,,,,,5.0,6.0,,
Arjan,,5.0,,,,,,,,,
Arjun,16.0,22.0,27.0,23.0,20.0,22.0,26.0,42.0,33.0,34.0,33.0
Arlen,,,,,,,,,,,5.0
Arlind,,,,,7.0,,,,,,5.0
Arlo,,5.0,7.0,9.0,13.0,14.0,14.0,14.0,17.0,18.0,33.0
Armaan,14.0,18.0,18.0,23.0,17.0,13.0,11.0,24.0,10.0,15.0,19.0
Arman,16.0,14.0,14.0,18.0,16.0,14.0,11.0,10.0,13.0,9.0,7.0
Armand,,6.0,5.0,,,5.0,,,5.0,,5.0
Armando,43.0,42.0,37.0,19.0,29.0,31.0,34.0,21.0,24.0,12.0,20.0
Armani,32.0,30.0,23.0,32.0,41.0,45.0,47.0,38.0,48.0,50.0,35.0
Armin,6.0,,5.0,,,,,5.0,,,5.0
Arnaldo,,,,,5.0,,,,,,
Arnav,8.0,9.0,20.0,12.0,7.0,11.0,10.0,13.0,6.0,14.0,5.0
Arnold,18.0,11.0,14.0,10.0,10.0,6.0,,11.0,,9.0,
Aron,86.0,95.0,114.0,93.0,102.0,89.0,95.0,104.0,102.0,111.0,82.0
Arron,10.0,8.0,,7.0,,,6.0,,,,
Arsh,,,,5.0,,,7.0,,,,
Arshan,,,,,,,,,,5.0,
Artan,6.0,,,,,,,,,,
Artem,,6.0,,,5.0,,,,,,6.0
Arthur,59.0,71.0,61.0,56.0,57.0,54.0,42.0,75.0,63.0,69.0,73.0
Artur,,,,,,,5.0,,,,
Arturo,26.0,21.0,23.0,21.0,16.0,14.0,18.0,17.0,14.0,13.0,14.0
Arun,,,,,8.0,5.0,,,,,
Arvin,11.0,7.0,7.0,7.0,7.0,11.0,,12.0,10.0,5.0,15.0
Arvind,,,,,,5.0,,,,,
Arya,,,,9.0,5.0,9.0,,9.0,8.0,8.0,9.0
Aryan,30.0,29.0,29.0,34.0,33.0,23.0,23.0,37.0,29.0,38.0,29.0
Arye,5.0,9.0,7.0,10.0,9.0,8.0,12.0,9.0,12.0,12.0,6.0
Aryeh,32.0,31.0,27.0,30.0,32.0,40.0,30.0,32.0,39.0,42.0,33.0
Asa,15.0,12.0,14.0,8.0,12.0,25.0,15.0,17.0,10.0,16.0,14.0
Asad,11.0,,,,6.0,5.0,6.0,9.0,,7.0,5.0
Asadbek,,,,,,,,,,,6.0
Asani,,,,,,,,,5.0,,
Ashar,,,,,,,,,,,7.0
Asher,52.0,68.0,71.0,78.0,90.0,107.0,103.0,138.0,148.0,141.0,189.0
Ashley,,7.0,,,,5.0,,,,,
Ashraf,7.0,,,,,,,,,,
Ashton,160.0,103.0,98.0,114.0,113.0,111.0,92.0,152.0,112.0,126.0,129.0
Ashtyn,,,5.0,5.0,,,,,,,
Ashwin,5.0,,,,,,,,,6.0,
Asim,,6.0,,,,,,,,,
Aslan,,,,,,,,,,,5.0
Aspen,,,,,,,,5.0,,,
Aston,,,8.0,8.0,6.0,,,8.0,9.0,13.0,11.0
Athan,,,,,,,6.0,,,,
Athanasios,,,,5.0,,9.0,8.0,,,,
Atharv,,,,,,,,5.0,,,
Atlas,,,,,5.0,,6.0,7.0,9.0,19.0,18.0
Atlee,,,,,,5.0,,,,,
Atreyu,,,,,5.0,,,,7.0,,6.0
Atticus,11.0,13.0,15.0,12.0,13.0,12.0,16.0,15.0,29.0,31.0,30.0
Aubrey,9.0,5.0,8.0,,9.0,,11.0,6.0,9.0,8.0,6.0
Auden,,,6.0,5.0,,5.0,,,,,6.0
August,18.0,25.0,22.0,21.0,34.0,44.0,51.0,38.0,60.0,48.0,82.0
Augustin,,6.0,,,,5.0,,6.0,6.0,7.0,6.0
Augustine,5.0,10.0,,9.0,8.0,5.0,9.0,,10.0,8.0,6.0
Augusto,5.0,,6.0,,,,,,,,
Augustus,8.0,15.0,14.0,10.0,16.0,17.0,11.0,17.0,12.0,19.0,25.0
Aurelio,,,,,,,,,,,6.0
Austen,,8.0,,5.0,7.0,,6.0,7.0,10.0,9.0,5.0
Austin,327.0,326.0,368.0,333.0,301.0,312.0,270.0,318.0,343.0,373.0,388.0
Auston,,5.0,,6.0,,,,,,,5.0
Austyn,8.0,,7.0,5.0,7.0,,,,5.0,,6.0
Ava,,,,,,,6.0,,,5.0,
Avant,8.0,,8.0,,,,,,,5.0,
Avante,,,,,6.0,,,,,,
Aven,,,,,,,,6.0,10.0,6.0,
Avery,62.0,74.0,82.0,76.0,89.0,90.0,111.0,107.0,117.0,139.0,140.0
Avi,20.0,19.0,24.0,31.0,15.0,24.0,19.0,28.0,20.0,31.0,24.0
Avian,,6.0,6.0,5.0,,,8.0,5.0,6.0,,9.0
Aviel,5.0,,5.0,9.0,7.0,12.0,8.0,6.0,14.0,14.0,
